name,calories,protein,fat,carbohydrate,goal
"Eggplant, raw",25,0.98,0.18,5.88,Weight Loss
"Sherbet, orange",144,1.1,2.0,30.4,Weight Loss
"Cauliflower, raw",25,1.92,0.28,4.97,Weight Loss
"Taro leaves, raw",42,4.98,0.74,6.7,Weight Loss
"Lamb, raw, ground",282,16.56,23.41,0.0,Muscle Gain
"Cheese, camembert",300,19.8,24.26,0.46,Muscle Gain
Vegetarian fillets,290,23.0,18.0,9.0,Muscle Gain
"PACE, Picante Sauce",25,0.0,0.0,6.25,Weight Loss
"Mango nectar, canned",51,0.11,0.06,13.12,Weight Loss
"Chicken, boiled, feet",215,19.4,14.6,0.2,Muscle Gain
"Quail, raw, meat only",134,21.76,4.53,0.0,Muscle Gain
"Peppers, raw, jalapeno",29,0.91,0.37,6.5,Weight Loss
"Winged bean tuber, raw",148,11.6,0.9,28.1,Weight Loss
"Salami, turkey, cooked",172,19.2,9.21,1.55,Muscle Gain
"Grapes, raw, muscadine",57,0.81,0.47,13.93,Weight Loss
"Nuts, raw, ginkgo nuts",182,4.32,1.68,37.6,Weight Loss
"PACE, Green Taco Sauce",25,0.0,0.0,6.25,Weight Loss
"Ostrich, raw, top loin",119,21.67,2.95,0.0,Muscle Gain
"McDONALD'S, Side Salad",20,1.03,0.19,4.3,Weight Loss
"Broccoli, raw, chinese",30,1.2,0.76,4.67,Weight Loss
"Agave, raw (Southwest)",68,0.52,0.15,16.23,Weight Loss
"Emu, raw, outside drum",103,23.08,0.48,0.0,Muscle Gain
"Lentils, raw, sprouted",106,8.96,0.55,22.14,Weight Loss
"Fish, raw, sheepshead",108,20.21,2.41,0.0,Muscle Gain
"Babyfood, pear, juice",47,0.0,0.0,11.86,Weight Loss
"Brussels sprouts, raw",43,3.38,0.3,8.95,Weight Loss
"Broccoli raab, cooked",33,3.83,0.52,3.12,Weight Loss
"Chicory, raw, witloof",17,0.9,0.1,4.0,Weight Loss
"Broccoli, raw, leaves",28,2.98,0.35,5.06,Weight Loss
"Durian, raw or frozen",147,1.47,5.33,27.09,Weight Loss
"Tomatoes, raw, orange",16,1.16,0.19,3.18,Weight Loss
"Tomatoes, raw, yellow",15,0.98,0.26,2.98,Weight Loss
"Fish, smoked, haddock",116,25.23,0.96,0.0,Muscle Gain
"Ground turkey, cooked",203,27.37,10.4,0.0,Muscle Gain
"Spices, garlic powder",331,16.55,0.73,72.73,Muscle Gain
"Egg, fresh, raw, yolk",322,15.86,26.54,3.59,Muscle Gain
"Fireweed, raw, leaves",103,4.71,2.75,19.22,Weight Loss
"Beef, pastrami, cured",147,21.8,5.82,0.36,Muscle Gain
"Frankfurter, meatless",233,19.61,13.73,7.7,Muscle Gain
"Emu, raw, flat fillet",102,22.25,0.74,0.0,Muscle Gain
"Emu, raw, inside drum",108,22.22,1.49,0.0,Muscle Gain
"USDA Commodity, salsa",36,1.5,0.2,7.0,Weight Loss
"Game meat, raw, horse",133,21.39,4.6,0.0,Muscle Gain
"Broccoli, raw, stalks",28,2.98,0.35,5.24,Weight Loss
"Gravy, canned, au jus",16,1.2,0.2,2.5,Weight Loss
"McDONALD'S, Hamburger",264,12.92,10.09,30.28,Maintain
"Cheese, port de salut",352,23.78,28.2,0.57,Muscle Gain
SILK Original Creamer,100,0.0,6.67,6.67,Weight Loss
SILK Hazelnut Creamer,133,0.0,6.67,20.0,Weight Loss
"Mushrooms, raw, enoki",37,2.66,0.29,7.81,Weight Loss
"Hominy, white, canned",72,1.48,0.88,14.26,Weight Loss
"Game meat, raw, moose",102,22.24,0.74,0.0,Muscle Gain
"Pears, red anjou, raw",62,0.33,0.14,14.94,Weight Loss
"Horseradish, prepared",48,1.18,0.69,11.29,Weight Loss
"Fish, raw, butterfish",146,17.28,8.02,0.0,Muscle Gain
"Lebanon bologna, beef",172,19.03,10.44,0.44,Muscle Gain
Ham and cheese spread,245,16.18,18.53,2.28,Muscle Gain
"TACO BELL, Taco Salad",170,6.69,9.17,15.1,Weight Loss
"Sauce, worcestershire",78,0.0,0.0,19.46,Weight Loss
"Hummus, home prepared",177,4.86,8.59,20.12,Weight Loss
Horned melon (Kiwano),44,1.78,1.26,7.56,Weight Loss
"Peppers, raw, serrano",32,1.74,0.44,6.7,Weight Loss
"Cabbage, cooked, napa",12,1.1,0.17,2.23,Weight Loss
"Parsley, freeze-dried",271,31.3,5.2,42.38,Muscle Gain
"Yambean (jicama), raw",38,0.72,0.09,8.82,Weight Loss
"Kiwifruit, raw, green",61,1.14,0.52,14.66,Weight Loss
"Drumstick leaves, raw",64,9.4,1.4,8.28,Weight Loss
"Yautia (tannier), raw",98,1.46,0.4,23.63,Weight Loss
"Cucumber, raw, peeled",12,0.59,0.16,2.16,Weight Loss
"Dandelion greens, raw",45,2.7,0.7,9.2,Weight Loss
"Melons, raw, honeydew",36,0.54,0.14,9.09,Weight Loss
Potato salad with egg,157,1.96,9.4,16.18,Weight Loss
"Mushrooms, raw, white",22,3.09,0.34,3.26,Weight Loss
"Mushrooms, raw, morel",31,3.12,0.57,5.1,Weight Loss
"Cheese, Mexican blend",358,23.54,28.51,1.75,Muscle Gain
"Oranges, Florida, raw",46,0.7,0.21,11.54,Weight Loss
"SILK Vanilla, soymilk",41,2.47,1.44,4.12,Weight Loss
