Food Name,Field Changed,Old Value,New Value,Reference Page (IFCT),Reason,Confidence
Cheese And Pineapple Sandwich (Cheese Aur Ananas Ka Sandwich),category,Fruits,Traditional Meal,N/A,Sandwiches belong to Traditional Meal,100%
Carrot Apple Sandwich (Gajar Aur Seb Ka Sandwich),category,Fruits,Traditional Meal,N/A,Sandwiches belong to Traditional Meal,100%
Chhena Poda,is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Sweet Potato Chaat,is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Aam Panna (Unsweetened),is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Authentic Sweet Potato Chaat,is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Light Sweet Potato Chaat,is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Spicy Sweet Potato Chaat,is_recommended,True,False,N/A,Unhealthy/Dessert item,100%
Hot Tea (Garam Chai),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Instant Coffee,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Espresso Coffee,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Iced Tea,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Raw Mango Drink (Aam Panna),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fruit Punch (With Fresh Juices),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemonade,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lem-O-Gin,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cumin Infused Water (Jeere/Zeere Ka Pani),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coco Pine Cooler,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Summer Cooler,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Cocoa,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Banana Milkshake (Kele Milkshake),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mango Milkshake (Aam Milkshake),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pineapple Milkshake (Ananas Milkshake),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Orange Milkshake (Narangi Milkshake),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg Nog,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lassi (Salted),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese And Chilli Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg Sandwich (Ande Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cucumber Sandwich (Kheere Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese And Pineapple Sandwich (Cheese Aur Ananas Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese And Tomato Sandwich (Cheese Aur Tamatar Ke Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peanut And Tomato Sandwich (Moongfali Aur Tamatar Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rainbow Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Club Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetarian Club Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pin Wheel Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Carrot Apple Sandwich (Gajar Aur Seb Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg And Tomato Sandwich (Ande Aur Tamatar Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mushroom And Cheese Sandwich (Toasted),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese And Tomato Sandwich (Toasted) (Cheese Aur Tamatar Ke Sandwich (Toasted)),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Potato Sandwich (Toasted) (Matar Aloo Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Pea Sandwich (Toasted) (Paneer Matar Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Sandwich (Toasted),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Classic Club Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sesame Toast,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cracked Wheat Porridge (Meetha Daliya),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Semolina Porridge (Suji/Rava Daliya),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Oatmeal Porridge,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cornflakes With Milk,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rice Flakes (Chiwda/Aval),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Wheat Flakes,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Murmura (Puffed Rice),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Puffed Wheat (Murmure/Moori),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Boiled Egg (Ubla Anda),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Poached Egg,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Scrambled Egg (Ande Ki Bhurji),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Egg,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Plain Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Egg Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Brown Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Clear Tomato Soup (Tamatar Ka Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lentil Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Consomme (Clear Chicken Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Tomato Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Green Peas Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Spinach Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Mixed Vegetable Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Mushroom Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Minestrone Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg Drop Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chinese Cabbage And Meat Ball Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
French Onion Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot And Sour Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Talaumein Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Cucumber Soup (Thanda Kheere Ka Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Summer Garden Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chapati/Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Plain Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Potato Parantha/Paratha (Aloo Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Radish Parantha/Paratha (Mooli Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Parantha/Paratha (Phoolgobhi Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Dal Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Pea Parantha/Paratha (Matar Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Besan And Spinach Parantha/Paratha (Besan Aur Palak Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Tandoori Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Boiled Rice (Uble Chawal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Plain Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Vegetable Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mushroom Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peanut Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Navratan Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Green Chickpeas Pulao (Choliya Pulao/Hare Chane Ka Pulao),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Biryani/Biriyani,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Biryani/Biriyani,region,All India,Pan Indian,N/A,Invalid region fallback,100%
