food_id,serving_unit,serving_quantity,serving_weight_g,meal_role,swap_group,meal_pair_group,portion_min,portion_max,portion_step,budget_level,availability,food_category,can_be_primary_meal,max_serving_multiplier
d2c6651f-e97d-43de-a4ff-7555798f00a5,ml,250.0,250.0,beverage,healthy beverage,Liquid Meal,50,300,50,Low,very_common,Beverage,False,2.0
9e8ea6c9-f87b-43d7-9ecd-c7184c0abb67,ml,250.0,250.0,beverage,healthy beverage,Liquid Meal,50,300,50,Low,very_common,Beverage,False,2.0
29838e9a-6c1e-4959-afee-cf5ffc2ecc2e,ml,250.0,250.0,beverage,healthy beverage,Liquid Meal,50,300,50,Low,very_common,Beverage,False,2.0
8a0f3a2b-ffa3-4afe-83d0-672e239a1ab6,ml,250.0,250.0,beverage,healthy beverage,Liquid Meal,50,300,50,Low,very_common,Beverage,False,2.0
0bf0f905-20f3-499f-92a9-230570024cb9,ml,150.0,150.0,beverage,fruits,All India Meal,150,400,50,Low,very_common,Beverage,False,2.0
cf6f2ded-e0d6-4416-b707-588a0dfd1116,ml,150.0,150.0,snack_fruit,fruits,All India Meal,150,400,50,Low,very_common,Fruits,False,2.0
621f6eb7-a649-490f-908c-d1123b1a1e16,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
e637615d-178a-4a30-970a-ccbd5de239cd,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
9e2968f6-b181-40a9-830c-36b1b755ffd8,ml,150.0,150.0,beverage,traditional meal,All India Meal,50,300,50,Low,very_common,Beverage,False,2.0
1ae6c1d4-5d96-46e4-9329-8ada21fffd5c,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
d3d88ccb-3954-460d-88ae-03a7874b89af,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
f9906ea9-86fa-4c4f-9ed7-488473725902,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
17a5d0f9-e013-4f0d-8c6d-16598b389cb9,ml,150.0,150.0,beverage,fruits,All India Meal,150,400,50,Low,very_common,Beverage,False,2.0
ba840e2a-30b3-482c-ae4d-a7d838728097,ml,150.0,150.0,beverage,fruits,All India Meal,150,400,50,Low,very_common,Beverage,False,2.0
5db02c1f-dc11-48d1-bd7b-68d37381131b,ml,150.0,150.0,beverage,fruits,All India Meal,150,400,50,Low,very_common,Beverage,False,2.0
b9f98514-533f-4249-8f70-6adc0f4bab27,ml,150.0,150.0,beverage,dairy,All India Meal,150,400,50,Low,very_common,Beverage,False,2.0
73cb1ea0-dc25-4023-87f5-e21f292998c0,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
1e01874b-3d2c-4b40-9eef-5934557926d5,ml,150.0,150.0,dairy_side,dairy,All India Meal,150,400,50,Low,very_common,Dairy,False,2.0
ee5093e7-9481-486a-9e55-e40e5d67d6b0,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
754a1a72-6ca0-4437-a3b9-dbcc2c1812d4,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
e91cfef8-80f2-4311-8d3f-f9a7b86082ea,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
2e0bd9f0-685d-455f-8612-7670d40754f9,g,150.0,150.0,snack_fruit,fruits,All India Meal,20,150,10,Low,very_common,Fruits,False,2.0
77f40b3f-1710-4016-a8eb-4ccc1f2a089e,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
ff41b393-84d8-4efa-8412-cb61621b313a,g,150.0,150.0,protein_main,chicken/meat,All India Meal,50,300,50,High,limited,Chicken/Meat,True,2.0
7d1f3c90-2e98-459b-baf7-0a49e1e68510,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
04e19fe9-8a80-4ec1-9fb7-a14006374b41,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
d26549c1-8144-4e2b-8101-22c83902cd34,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
8feba728-d75e-4a70-99f9-404fbe67cc6a,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
dbe22aa7-03ec-46d6-ab09-d8f1c7c32470,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
49103ca2-ad75-47e0-884a-990fd1da4bb0,g,150.0,150.0,snack_fruit,fruits,All India Meal,20,150,10,Low,very_common,Fruits,False,2.0
8e8a13fd-abc4-4851-a9d8-fb3143c8b9de,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
99575818-c678-4470-8263-fc816a05f4af,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
c77bdc40-f541-4967-90a0-18c7fb6ca0b4,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
c143035b-902a-488e-a2c6-4601f3bddd90,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
e2441831-1bd9-4a1b-b9b4-a7d9b853b24f,g,150.0,150.0,protein_main,paneer,North Indian Meal,50,300,50,Medium,common,Paneer,True,2.0
c4ca3be5-0a72-4ad3-9f72-680036c4faad,g,150.0,150.0,protein_main,chicken/meat,All India Meal,50,300,50,High,limited,Chicken/Meat,True,2.0
bd741afc-ec6c-48ff-a266-c795a40e4b42,ml,150.0,150.0,dairy_side,dairy,All India Meal,150,400,50,Low,very_common,Dairy,False,2.0
e076f79a-68e1-4e98-9760-0fe757912810,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
75f3b360-5ae1-4e99-8a03-ec46bf0e685b,g,150.0,150.0,protein_main,dal & pulses,All India Meal,50,300,50,Low,very_common,Dal & Pulses,True,2.0
7f1c1297-54a1-4765-826d-ace72852a46c,g,150.0,150.0,protein_main,dal & pulses,All India Meal,50,300,50,Low,very_common,Dal & Pulses,True,2.0
1c954e45-fd3f-454a-a8fe-a7afd1d2816a,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
7f0cfbb0-227b-4b49-a747-fc5e37b6572f,ml,150.0,150.0,dairy_side,dairy,Liquid Meal,150,400,50,Low,very_common,Dairy,False,2.0
35f3db10-7d50-4d1d-86d2-ddab2cd85f05,g,150.0,150.0,carb_base,rice,Rice Meal,50,300,50,Low,very_common,Rice,True,2.0
7c26a67a-dd47-4c53-b4cb-b933e8630e18,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
94a640ee-253c-4a62-9323-ca28fa561640,g,150.0,150.0,carb_base,rice,Rice Meal,50,300,50,Low,very_common,Rice,True,2.0
9dbcecdd-d43b-408a-b418-c0538c08d08b,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
787623ea-d570-470d-9d2a-5bee5406a72d,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
e884fe81-cc7a-4949-84c2-cb74cbf8c622,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
326de74e-7e4e-40dc-9938-dc1b556fc9c2,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
6b6aec87-0520-4af7-981d-f8ed7346e2d4,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
7dc9d943-45f9-4369-8574-16dfbe9ad9a6,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
4ae91156-273b-45b1-aac7-df61a7316b2b,g,150.0,150.0,protein_main,eggs,All India Meal,50,300,50,Low,very_common,Eggs,True,2.0
3fcf0180-ae20-4a6a-ae75-510d5546862e,g,150.0,150.0,combo_meal,traditional meal,All India Meal,50,300,50,Low,very_common,Traditional Meal,True,2.0
ca1137dc-09e8-4abe-8b37-8247ed974343,g,150.0,150.0,veg_side,vegetables,All India Meal,50,300,50,Low,very_common,Vegetables,False,2.0
574fcab4-e107-49f2-aab0-17938e05b695,g,150.0,150.0,protein_main,chicken/meat,All India Meal,50,300,50,High,limited,Chicken/Meat,True,2.0
