Name,Type,calories,protein,carbohydrate,total_fat,Tags,Allergens,Swap_Group,Goal
Hot tea (Garam Chai),Snack,48,1.2,7.7,1.6,Veg,,Veg_Snack,Weight Loss
Instant coffee,Snack,69,1.9,11.0,2.2,Veg,,Veg_Snack,Weight Loss
Espreso coffee,Snack,77,2.6,9.9,3.2,Veg,,Veg_Snack,Weight Loss
Iced tea,Snack,31,0.1,8.1,0.0,Veg,,Veg_Snack,Weight Loss
Raw mango drink (Aam panna),Breakfast,107,0.5,27.2,0.1,Veg,,Veg_Breakfast,Weight Loss
Raw mango drink (Aam panna),Snack,107,0.5,27.2,0.1,Veg,,Veg_Snack,Weight Loss
Fruit Punch (with fresh juices),Breakfast,108,0.4,28.1,0.1,Veg,,Veg_Breakfast,Weight Loss
Fruit Punch (with fresh juices),Snack,108,0.4,28.1,0.1,Veg,,Veg_Snack,Weight Loss
Fruit Punch (with squashes),Breakfast,69,0.2,18.0,0.1,Veg,,Veg_Breakfast,Weight Loss
Fruit Punch (with squashes),Snack,69,0.2,18.0,0.1,Veg,,Veg_Snack,Weight Loss
Lemonade,Breakfast,62,0.1,16.4,0.0,Veg,,Veg_Breakfast,Weight Loss
Lemonade,Snack,62,0.1,16.4,0.0,Veg,,Veg_Snack,Weight Loss
Lem-o-gin,Breakfast,64,0.2,16.6,0.1,Veg,,Veg_Breakfast,Weight Loss
Lem-o-gin,Snack,64,0.2,16.6,0.1,Veg,,Veg_Snack,Weight Loss
Cumin infused water (Jeere/Zeere ka pani),Breakfast,27,0.5,5.6,0.3,Veg,,Veg_Breakfast,Weight Loss
Cumin infused water (Jeere/Zeere ka pani),Snack,27,0.5,5.6,0.3,Veg,,Veg_Snack,Weight Loss
Coco pine cooler,Breakfast,98,1.7,17.2,3.0,Veg,,Veg_Breakfast,Weight Loss
Coco pine cooler,Snack,98,1.7,17.2,3.0,Veg,,Veg_Snack,Weight Loss
Summer cooler,Breakfast,67,1.1,16.3,0.1,Veg,,Veg_Breakfast,Weight Loss
Summer cooler,Snack,67,1.1,16.3,0.1,Veg,,Veg_Snack,Weight Loss
Hot cocoa,Breakfast,135,5.0,13.8,6.8,Veg,,Veg_Breakfast,Weight Loss
Hot cocoa,Snack,135,5.0,13.8,6.8,Veg,,Veg_Snack,Weight Loss
Cold coffee with ice cream,Snack,101,2.4,16.9,3.2,Veg,Dairy,Veg_Snack,Weight Loss
Banana milkshake (Kele milkshake),Snack,97,2.8,13.7,3.6,Veg,Dairy,Veg_Snack,Weight Loss
Mango milkshake (Aam milkshake),Snack,85,2.6,10.8,3.5,Veg,Dairy,Veg_Snack,Weight Loss
Pineapple milkshake (Ananas milkshake),Snack,83,2.5,11.4,3.3,Veg,Dairy,Veg_Snack,Weight Loss
Orange milkshake (Narangi milkshake),Snack,86,2.8,10.7,3.8,Veg,Dairy,Veg_Snack,Weight Loss
Egg nog,Breakfast,145,7.2,12.2,7.7,Non-Veg,Eggs,Non-Veg_Breakfast,Weight Loss
Sweet Lassi (Meethi lassi),Breakfast,106,3.9,19.5,2.0,Veg,,Veg_Breakfast,Weight Loss
Sweet Lassi (Meethi lassi),Snack,106,3.9,19.5,2.0,Veg,,Veg_Snack,Weight Loss
Lassi (salted),Breakfast,56,4.1,5.6,2.2,Veg,,Veg_Breakfast,Weight Loss
Lassi (salted),Snack,56,4.1,5.6,2.2,Veg,,Veg_Snack,Weight Loss
Cheese and chilli sandwich ,Lunch,545,17.0,68.5,24.4,Veg,,Veg_Lunch,Maintain
Cheese and chilli sandwich ,Dinner,545,17.0,68.5,24.4,Veg,,Veg_Dinner,Maintain
Egg sandwich (Ande ka sandwich),Breakfast,714,21.7,72.9,39.5,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Cucumber sandwich (Kheere ka sandwich),Lunch,471,12.0,64.4,20.0,Veg,,Veg_Lunch,Maintain
Cucumber sandwich (Kheere ka sandwich),Dinner,471,12.0,64.4,20.0,Veg,,Veg_Dinner,Maintain
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Lunch,644,20.5,72.8,32.0,Veg,,Veg_Lunch,Muscle Gain
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Dinner,644,20.5,72.8,32.0,Veg,,Veg_Dinner,Muscle Gain
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Lunch,608,19.8,67.3,30.7,Veg,,Veg_Lunch,Maintain
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Dinner,608,19.8,67.3,30.7,Veg,,Veg_Dinner,Maintain
Chicken sandwich,Lunch,633,32.8,63.4,29.4,Non-Veg,,Non-Veg_Lunch,Muscle Gain
Chicken sandwich,Dinner,633,32.8,63.4,29.4,Non-Veg,,Non-Veg_Dinner,Muscle Gain
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Lunch,728,23.8,71.4,40.4,Veg,Nuts,Veg_Lunch,Muscle Gain
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Dinner,728,23.8,71.4,40.4,Veg,Nuts,Veg_Dinner,Muscle Gain
Rainbow sandwich,Lunch,681,19.4,85.6,31.4,Veg,,Veg_Lunch,Maintain
Rainbow sandwich,Dinner,681,19.4,85.6,31.4,Veg,,Veg_Dinner,Maintain
Club sandwich ,Lunch,588,18.3,46.3,37.8,Veg,,Veg_Lunch,Maintain
Club sandwich ,Dinner,588,18.3,46.3,37.8,Veg,,Veg_Dinner,Maintain
Vegetarian club sandwich,Lunch,495,13.6,49.2,28.3,Veg,,Veg_Lunch,Maintain
Vegetarian club sandwich,Dinner,495,13.6,49.2,28.3,Veg,,Veg_Dinner,Maintain
Pin wheel sandwich,Lunch,778,21.9,35.0,62.3,Veg,,Veg_Lunch,Muscle Gain
Pin wheel sandwich,Dinner,778,21.9,35.0,62.3,Veg,,Veg_Dinner,Muscle Gain
Carrot apple sandwich (Gajar aur seb ka sandwich),Lunch,535,13.2,72.6,22.8,Veg,,Veg_Lunch,Maintain
Carrot apple sandwich (Gajar aur seb ka sandwich),Dinner,535,13.2,72.6,22.8,Veg,,Veg_Dinner,Maintain
Salami sandwich,Lunch,638,21.8,53.8,38.8,Veg,,Veg_Lunch,Muscle Gain
Salami sandwich,Dinner,638,21.8,53.8,38.8,Veg,,Veg_Dinner,Muscle Gain
Vegetable and mayonnaise sandwich,Lunch,610,11.2,58.0,38.5,Veg,,Veg_Lunch,Maintain
Vegetable and mayonnaise sandwich,Dinner,610,11.2,58.0,38.5,Veg,,Veg_Dinner,Maintain
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Breakfast,555,19.2,64.8,26.3,Non-Veg,Eggs,Non-Veg_Breakfast,Maintain
Sweet open sandwich,Lunch,610,12.5,98.1,20.4,Veg,,Veg_Lunch,Maintain
Sweet open sandwich,Dinner,610,12.5,98.1,20.4,Veg,,Veg_Dinner,Maintain
Mushroom and cheese sandwich (toasted),Breakfast,568,19.5,52.5,32.5,Veg,,Veg_Breakfast,Maintain
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Breakfast,561,17.0,53.6,32.4,Veg,,Veg_Breakfast,Maintain
Pea potato sandwich (toasted) (Matar aloo ka sandwich),Breakfast,412,11.5,62.9,13.6,Veg,,Veg_Breakfast,Maintain
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Breakfast,623,31.0,60.1,30.0,Veg,Dairy,Veg_Breakfast,Muscle Gain
Chicken sandwich (toasted),Breakfast,418,30.2,47.0,13.3,Non-Veg,,Non-Veg_Breakfast,Muscle Gain
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Breakfast,429,27.6,50.7,14.0,Veg,,Veg_Breakfast,Muscle Gain
Classic club sandwich,Lunch,502,16.8,46.2,28.9,Veg,,Veg_Lunch,Maintain
Classic club sandwich,Dinner,502,16.8,46.2,28.9,Veg,,Veg_Dinner,Maintain
Sesame toast,Breakfast,1237,4.8,27.9,123.4,Veg,,Veg_Breakfast,Maintain
Cracked wheat porridge (Meetha daliya),Breakfast,122,4.0,13.3,6.1,Veg,Gluten,Veg_Breakfast,Weight Loss
Cracked wheat porridge (Meetha daliya),Snack,122,4.0,13.3,6.1,Veg,Gluten,Veg_Snack,Weight Loss
Semolina porridge (Suji/Rava daliya),Breakfast,151,5.6,18.6,6.1,Veg,,Veg_Breakfast,Weight Loss
Semolina porridge (Suji/Rava daliya),Snack,151,5.6,18.6,6.1,Veg,,Veg_Snack,Weight Loss
Oatmeal Porridge,Breakfast,109,3.9,13.2,4.8,Veg,,Veg_Breakfast,Weight Loss
Oatmeal Porridge,Snack,109,3.9,13.2,4.8,Veg,,Veg_Snack,Weight Loss
Cornflakes with milk,Breakfast,175,5.4,22.4,7.7,Veg,Dairy,Veg_Breakfast,Weight Loss
Cornflakes with milk,Snack,175,5.4,22.4,7.7,Veg,Dairy,Veg_Snack,Weight Loss
Rice flakes (Chiwda/Aval),Breakfast,168,5.4,23.4,6.0,Veg,,Veg_Breakfast,Weight Loss
Rice flakes (Chiwda/Aval),Snack,168,5.4,23.4,6.0,Veg,,Veg_Snack,Weight Loss
Wheat flakes,Breakfast,168,5.4,23.4,6.0,Veg,Gluten,Veg_Breakfast,Weight Loss
Wheat flakes,Snack,168,5.4,23.4,6.0,Veg,Gluten,Veg_Snack,Weight Loss
Murmura (Puffed rice),Breakfast,169,5.4,23.5,6.1,Veg,,Veg_Breakfast,Weight Loss
Murmura (Puffed rice),Snack,169,5.4,23.5,6.1,Veg,,Veg_Snack,Weight Loss
Puffed wheat (Murmure/Moori),Breakfast,169,5.4,23.5,6.1,Veg,Gluten,Veg_Breakfast,Weight Loss
Puffed wheat (Murmure/Moori),Snack,169,5.4,23.5,6.1,Veg,Gluten,Veg_Snack,Weight Loss
Boiled egg (Ubla anda),Breakfast,136,13.3,0.4,9.1,Non-Veg,Eggs,Non-Veg_Breakfast,Weight Loss
Fried Egg ,Breakfast,559,29.0,0.8,49.1,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Poached egg,Breakfast,185,18.0,0.6,12.3,Non-Veg,Eggs,Non-Veg_Breakfast,Maintain
Scrambled egg (Ande ki bhurji),Breakfast,389,25.7,3.4,30.5,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Baked egg ,Breakfast,547,29.7,38.6,31.6,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Plain omelette/omlet,Lunch,681,24.2,1.6,64.4,Veg,,Veg_Lunch,Muscle Gain
Plain omelette/omlet,Dinner,681,24.2,1.6,64.4,Veg,,Veg_Dinner,Muscle Gain
Stuffed egg omelette/omlet,Breakfast,508,21.5,5.8,44.4,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Pancake,Lunch,508,14.2,51.2,27.0,Veg,,Veg_Lunch,Maintain
Pancake,Dinner,508,14.2,51.2,27.0,Veg,,Veg_Dinner,Maintain
Keema pancake,Lunch,440,22.5,23.9,28.1,Veg,,Veg_Lunch,Muscle Gain
Keema pancake,Dinner,440,22.5,23.9,28.1,Veg,,Veg_Dinner,Muscle Gain
Vegetable pancake,Breakfast,187,5.8,18.4,9.9,Veg,,Veg_Breakfast,Weight Loss
Vegetable pancake,Snack,187,5.8,18.4,9.9,Veg,,Veg_Snack,Weight Loss
Jam and fruit pancake,Lunch,405,9.5,51.8,17.5,Veg,,Veg_Lunch,Maintain
Jam and fruit pancake,Dinner,405,9.5,51.8,17.5,Veg,,Veg_Dinner,Maintain
Khoa and coconut pancake,Lunch,679,17.5,68.3,38.2,Veg,Nuts,Veg_Lunch,Maintain
Khoa and coconut pancake,Dinner,679,17.5,68.3,38.2,Veg,Nuts,Veg_Dinner,Maintain
Brown stock,Breakfast,63,5.8,0.8,4.1,Veg,,Veg_Breakfast,Weight Loss
Brown stock,Snack,63,5.8,0.8,4.1,Veg,,Veg_Snack,Weight Loss
Vegetable stock,Breakfast,52,0.9,2.9,4.1,Veg,,Veg_Breakfast,Weight Loss
Vegetable stock,Snack,52,0.9,2.9,4.1,Veg,,Veg_Snack,Weight Loss
Chicken stock,Breakfast,89,11.1,1.1,4.5,Non-Veg,,Non-Veg_Breakfast,Weight Loss
Chicken stock,Snack,89,11.1,1.1,4.5,Non-Veg,,Non-Veg_Snack,Weight Loss
Clear tomato soup (Tamatar ka soup),Breakfast,120,7.2,5.2,18.3,Veg,,Veg_Breakfast,Maintain
Clear tomato soup (Tamatar ka soup),Snack,120,7.2,5.2,18.3,Veg,,Veg_Snack,Maintain
Lentil soup,Breakfast,93,29.0,11.8,35.0,Veg,,Veg_Breakfast,Muscle Gain
Lentil soup,Snack,93,29.0,11.8,35.0,Veg,,Veg_Snack,Muscle Gain
Chicken consomme (Clear chicken soup),Breakfast,143,34.4,3.6,36.1,Non-Veg,,Non-Veg_Breakfast,Muscle Gain
Chicken consomme (Clear chicken soup),Snack,143,34.4,3.6,36.1,Non-Veg,,Non-Veg_Snack,Muscle Gain
Cream of tomato soup,Breakfast,146,6.9,5.9,19.7,Veg,Dairy,Veg_Breakfast,Maintain
Cream of tomato soup,Snack,146,6.9,5.9,19.7,Veg,Dairy,Veg_Snack,Maintain
Cream of green peas soup,Breakfast,191,10.7,10.1,22.2,Veg,Dairy,Veg_Breakfast,Maintain
Cream of green peas soup,Snack,191,10.7,10.1,22.2,Veg,Dairy,Veg_Snack,Maintain
Cream of spinach soup,Breakfast,150,7.8,5.2,20.0,Veg,Dairy,Veg_Breakfast,Maintain
Cream of spinach soup,Snack,150,7.8,5.2,20.0,Veg,Dairy,Veg_Snack,Maintain
Cream of mixed vegetable soup,Breakfast,89,10.3,7.4,13.6,Veg,Dairy,Veg_Breakfast,Maintain
Cream of mixed vegetable soup,Snack,89,10.3,7.4,13.6,Veg,Dairy,Veg_Snack,Maintain
Cream of mushroom soup,Breakfast,175,10.0,5.6,23.2,Veg,Dairy,Veg_Breakfast,Maintain
Cream of mushroom soup,Snack,175,10.0,5.6,23.2,Veg,Dairy,Veg_Snack,Maintain
Chicken sweet corn soup,Breakfast,84,43.4,4.9,37.8,Non-Veg,,Non-Veg_Breakfast,Muscle Gain
Chicken sweet corn soup,Snack,84,43.4,4.9,37.8,Non-Veg,,Non-Veg_Snack,Muscle Gain
Minestrone soup,Breakfast,127,27.9,11.1,33.3,Veg,,Veg_Breakfast,Muscle Gain
Minestrone soup,Snack,127,27.9,11.1,33.3,Veg,,Veg_Snack,Muscle Gain
Egg drop soup,Breakfast,79,38.8,3.3,40.6,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Chinese cabbage and meat ball soup,Lunch,1210,13.0,3.6,141.4,Non-Veg,,Non-Veg_Lunch,Maintain
Chinese cabbage and meat ball soup,Dinner,1210,13.0,3.6,141.4,Non-Veg,,Non-Veg_Dinner,Maintain
French onion soup,Breakfast,83,17.1,6.4,21.6,Veg,,Veg_Breakfast,Maintain
French onion soup,Snack,83,17.1,6.4,21.6,Veg,,Veg_Snack,Maintain
Hot and sour soup,Breakfast,94,9.4,5.3,3.9,Veg,,Veg_Breakfast,Weight Loss
Hot and sour soup,Snack,94,9.4,5.3,3.9,Veg,,Veg_Snack,Weight Loss
Talaumein soup,Breakfast,106,30.4,12.5,38.3,Veg,,Veg_Breakfast,Muscle Gain
Talaumein soup,Snack,106,30.4,12.5,38.3,Veg,,Veg_Snack,Muscle Gain
Cold cucumber soup (Thanda kheere ka soup),Breakfast,144,9.0,13.7,6.0,Veg,,Veg_Breakfast,Weight Loss
Cold cucumber soup (Thanda kheere ka soup),Snack,144,9.0,13.7,6.0,Veg,,Veg_Snack,Weight Loss
Cold summer garden soup,Breakfast,147,25.7,8.0,42.2,Veg,,Veg_Breakfast,Muscle Gain
Cold summer garden soup,Snack,147,25.7,8.0,42.2,Veg,,Veg_Snack,Muscle Gain
Chapati/Roti,Lunch,505,14.7,89.1,8.9,Veg,Gluten,Veg_Lunch,Maintain
Chapati/Roti,Dinner,505,14.7,89.1,8.9,Veg,Gluten,Veg_Dinner,Maintain
Plain parantha/paratha,Breakfast,745,12.6,76.7,42.2,Veg,Gluten,Veg_Breakfast,Maintain
Potato parantha/paratha (Aloo ka parantha/paratha),Breakfast,512,9.2,59.8,25.6,Veg,Gluten,Veg_Breakfast,Maintain
Radish parantha/paratha (Mooli ka parantha/paratha),Breakfast,458,8.2,51.4,23.8,Veg,Gluten,Veg_Breakfast,Maintain
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Breakfast,445,9.3,47.1,23.7,Veg,Gluten,Veg_Breakfast,Maintain
Dal parantha/paratha,Breakfast,670,17.0,75.1,32.6,Veg,Gluten,Veg_Breakfast,Maintain
Sprouted moong parantha/paratha,Breakfast,571,10.7,60.8,31.1,Veg,Gluten,Veg_Breakfast,Maintain
Pea parantha/paratha (Matar ka parantha/paratha),Breakfast,476,14.0,53.8,22.0,Veg,Gluten,Veg_Breakfast,Maintain
Keema parantha/paratha,Breakfast,595,23.5,45.9,34.8,Veg,Gluten,Veg_Breakfast,Muscle Gain
Paneer parantha/paratha,Breakfast,657,20.0,60.8,36.6,Veg,"Dairy, Gluten",Veg_Breakfast,Maintain
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Breakfast,541,13.8,53.5,30.2,Veg,Gluten,Veg_Breakfast,Maintain
Poori,Lunch,1844,3.4,20.6,194.0,Veg,,Veg_Lunch,Maintain
Poori,Dinner,1844,3.4,20.6,194.0,Veg,,Veg_Dinner,Maintain
Spinach poori (Palak poori),Lunch,1710,3.6,19.4,179.6,Veg,,Veg_Lunch,Maintain
Spinach poori (Palak poori),Dinner,1710,3.6,19.4,179.6,Veg,,Veg_Dinner,Maintain
Methi poori,Lunch,1775,3.6,20.0,186.5,Veg,,Veg_Lunch,Maintain
Methi poori,Dinner,1775,3.6,20.0,186.5,Veg,,Veg_Dinner,Maintain
Dal stuffed poori,Lunch,1962,5.2,25.4,204.2,Veg,,Veg_Lunch,Maintain
Dal stuffed poori,Dinner,1962,5.2,25.4,204.2,Veg,,Veg_Dinner,Maintain
Potato stuffed poori (Aloo ki poori),Lunch,1941,3.8,23.5,203.4,Veg,,Veg_Lunch,Maintain
Potato stuffed poori (Aloo ki poori),Dinner,1941,3.8,23.5,203.4,Veg,,Veg_Dinner,Maintain
Tandoori parantha/paratha,Breakfast,738,12.7,76.8,41.3,Veg,Gluten,Veg_Breakfast,Maintain
Boiled rice (Uble chawal),Breakfast,175,3.9,38.6,0.3,Veg,,Veg_Breakfast,Weight Loss
Boiled rice (Uble chawal),Snack,175,3.9,38.6,0.3,Veg,,Veg_Snack,Weight Loss
Plain pulao,Breakfast,210,3.5,32.7,6.9,Veg,,Veg_Breakfast,Weight Loss
Plain pulao,Snack,210,3.5,32.7,6.9,Veg,,Veg_Snack,Weight Loss
Mixed vegetable pulao,Breakfast,169,4.1,26.2,5.0,Veg,,Veg_Breakfast,Weight Loss
Mixed vegetable pulao,Snack,169,4.1,26.2,5.0,Veg,,Veg_Snack,Weight Loss
Mushroom pulao,Breakfast,186,3.8,28.5,6.0,Veg,,Veg_Breakfast,Weight Loss
Mushroom pulao,Snack,186,3.8,28.5,6.0,Veg,,Veg_Snack,Weight Loss
Sprouted moong pulao,Breakfast,169,3.3,26.2,5.4,Veg,,Veg_Breakfast,Weight Loss
Sprouted moong pulao,Snack,169,3.3,26.2,5.4,Veg,,Veg_Snack,Weight Loss
Paneer pulao,Lunch,1454,5.0,21.9,149.5,Veg,Dairy,Veg_Lunch,Maintain
Paneer pulao,Dinner,1454,5.0,21.9,149.5,Veg,Dairy,Veg_Dinner,Maintain
Peanut pulao ,Lunch,483,13.3,53.0,23.8,Veg,Nuts,Veg_Lunch,Maintain
Peanut pulao ,Dinner,483,13.3,53.0,23.8,Veg,Nuts,Veg_Dinner,Maintain
Navratan pulao,Lunch,654,15.5,92.4,23.6,Veg,,Veg_Lunch,Maintain
Navratan pulao,Dinner,654,15.5,92.4,23.6,Veg,,Veg_Dinner,Maintain
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Lunch,433,12.2,68.9,12.0,Veg,,Veg_Lunch,Maintain
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Dinner,433,12.2,68.9,12.0,Veg,,Veg_Dinner,Maintain
Mutton biryani/biriyani,Lunch,476,18.4,56.2,19.3,Non-Veg,,Non-Veg_Lunch,Maintain
Mutton biryani/biriyani,Dinner,476,18.4,56.2,19.3,Non-Veg,,Non-Veg_Dinner,Maintain
Vegetable biryani/biriyani,Lunch,436,7.9,46.4,23.8,Veg,,Veg_Lunch,Maintain
Vegetable biryani/biriyani,Dinner,436,7.9,46.4,23.8,Veg,,Veg_Dinner,Maintain
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Lunch,440,10.6,54.0,19.7,Veg,,Veg_Lunch,Maintain
